fold,mode,Epoch = 50,Loss,Acc,Note
0,train,001,1293.89673,-272.12808,
0,val,001,1329.63391,-193.60109,
0,train,002,1189.24468,-248.64619,
0,val,002,1308.19421,-190.46092,
0,train,003,1041.44701,-218.85904,
0,val,003,1253.93726,-182.52014,
0,train,004,878.01596,-177.86761,
0,val,004,1150.46899,-167.37907,
0,train,005,712.52376,-150.56152,
0,val,005,999.73199,-145.31767,
0,train,006,556.18272,-115.10831,
0,val,006,801.58276,-116.31431,
0,train,007,411.43757,-83.21417,
0,val,007,604.02057,-87.40150,
0,train,008,280.92201,-56.65265,
0,val,008,433.98984,-62.51664,
0,train,009,173.35064,-36.95755,
0,val,009,295.53119,-42.25250,
0,train,010,86.11164,-17.08955,
0,val,010,179.91052,-25.33115,
0,train,011,33.01494,-5.80495,
0,val,011,95.35257,-12.95534,
0,train,012,11.87996,-1.40057,
0,val,012,47.33183,-5.92717,best
0,train,013,9.62627,-0.98288,
0,val,013,27.66334,-3.04867,best
0,train,014,7.81742,-0.70680,
0,val,014,22.06084,-2.22876,best
0,train,015,6.17244,-0.25064,
0,val,015,19.80920,-1.89914,best
0,train,016,5.67283,-0.18879,
0,val,016,15.20180,-1.22489,best
0,train,017,5.63969,-0.14830,
0,val,017,10.39837,-0.52187,best
0,train,018,5.21131,-0.08611,
0,val,018,8.86181,-0.29697,best
0,train,019,5.45743,-0.13326,
0,val,019,8.48540,-0.24187,best
0,train,020,5.43848,-0.11442,
0,val,020,8.63308,-0.26351,
0,train,021,5.10585,-0.05250,
0,val,021,8.94222,-0.30876,
0,train,022,5.57509,-0.13028,
0,val,022,8.78232,-0.28535,
0,train,023,5.45834,-0.11333,
0,val,023,8.59395,-0.25777,
0,train,024,5.03664,-0.04053,
0,val,024,8.59164,-0.25743,
0,train,025,5.38606,-0.11660,
0,val,025,8.35647,-0.22303,best
0,train,026,5.45595,-0.10025,
0,val,026,8.29058,-0.21335,best
0,train,027,5.15037,-0.09660,
0,val,027,8.45255,-0.23709,
0,train,028,5.32815,-0.10141,
0,val,028,8.34299,-0.22102,
0,train,029,5.08278,-0.06924,
0,val,029,8.24620,-0.20687,best
0,train,030,5.24777,-0.06826,
0,val,030,8.05619,-0.17906,best
0,train,031,5.27858,-0.09252,
0,val,031,8.02840,-0.17501,best
0,train,032,5.24312,-0.10849,
0,val,032,7.97174,-0.16671,best
0,train,033,5.06731,-0.03665,
0,val,033,7.91817,-0.15886,best
fold,mode,Epoch = 100,Loss,Acc,Note
0,train,001,1293.89673,-272.12808,
0,val,001,1329.63391,-193.60109,
0,train,002,1189.24468,-248.64619,
0,val,002,1308.19421,-190.46092,
0,train,003,1041.44701,-218.85904,
0,val,003,1253.93726,-182.52014,
0,train,004,878.01596,-177.86761,
0,val,004,1150.46899,-167.37907,
0,train,005,712.52376,-150.56152,
0,val,005,999.73199,-145.31767,
0,train,006,556.18272,-115.10831,
0,val,006,801.58276,-116.31431,
0,train,007,411.43757,-83.21417,
0,val,007,604.02057,-87.40150,
0,train,008,280.92201,-56.65265,
0,val,008,433.98984,-62.51664,
0,train,009,173.35064,-36.95755,
0,val,009,295.53119,-42.25250,
0,train,010,86.11164,-17.08955,
0,val,010,179.91052,-25.33115,
0,train,011,33.01494,-5.80495,
0,val,011,95.35257,-12.95534,
0,train,012,11.87996,-1.40057,
0,val,012,47.33183,-5.92717,best
0,train,013,9.62627,-0.98288,
0,val,013,27.66334,-3.04867,best
0,train,014,7.81742,-0.70680,
0,val,014,22.06084,-2.22876,best
0,train,015,6.17244,-0.25064,
0,val,015,19.80920,-1.89914,best
0,train,016,5.67283,-0.18879,
0,val,016,15.20180,-1.22489,best
0,train,017,5.63969,-0.14830,
0,val,017,10.39837,-0.52187,best
0,train,018,5.21131,-0.08611,
0,val,018,8.86181,-0.29697,best
0,train,019,5.45743,-0.13326,
0,val,019,8.48540,-0.24187,best
